Name,Price,Rating,NoOfRatings
"Apple iPhone 11 (Black, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Green, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (White, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Red, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Purple, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Green, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Yellow, 64 GB) (Includes EarPods, Power Adapter)","₹54,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (White, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Red, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Black, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Green, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Purple, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Red, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Yellow, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (Yellow, 128 GB) (Includes EarPods, Power Adapter)","₹59,900",4.7,"22,011 Ratings "
"Apple iPhone 11 (White, 256 GB) (Includes EarPods, Power Adapter)","₹69,900",4.7,"22,011 Ratings "
"Apple iPhone 11 Pro (Midnight Green, 64 GB)","₹79,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Space Grey, 64 GB)","₹79,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Silver, 64 GB)","₹79,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Midnight Green, 512 GB)","₹1,09,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Silver, 512 GB)","₹1,09,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Space Grey, 512 GB)","₹1,09,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","₹1,17,100",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro (Gold, 512 GB)","₹1,09,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","₹1,17,100",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Silver, 64 GB)","₹1,17,100",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro (Space Grey, 256 GB)","₹92,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Midnight Green, 256 GB)","₹92,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Gold, 64 GB)","₹79,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro (Silver, 256 GB)","₹92,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro Max (Silver, 512 GB)","₹1,50,800",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Silver, 256 GB)","₹1,31,900",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Midnight Green, 512 GB)","₹1,50,800",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro (Gold, 256 GB)","₹92,999",4.6,"5,247 Ratings "
"Apple iPhone 11 Pro Max (Space Grey, 512 GB)","₹1,50,800",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Gold, 256 GB)","₹1,31,900",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)","₹1,31,900",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Gold, 64 GB)","₹1,17,100",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Space Grey, 256 GB)","₹1,31,900",4.7,"1,062 Ratings "
"Apple iPhone 11 Pro Max (Gold, 512 GB)","₹1,50,800",4.7,"1,062 Ratings "
"Apple iPhone 6 (Space Grey, 16 GB)","₹52,000",4.4,"1,45,245 Ratings "
"Apple iPhone X (Space Gray, 256 GB)","₹74,990",4.6,"10,928 Ratings "
"Apple iPhone X (Silver, 64 GB)","₹68,999",4.6,"10,928 Ratings "
"Apple iPhone 5s (Silver, 16 GB)","₹25,000",4.4,"62,551 Ratings "
"Apple iPhone 5s (Gold, 16 GB)","₹14,999",4.4,"62,551 Ratings "
"Apple iPhone 5s (Space Grey, 16 GB)","₹25,000",4.4,"62,551 Ratings "
"Apple iPhone X (Space Gray, 64 GB)","₹67,500",4.6,"10,928 Ratings "
"Apple iPhone 5C (Pink, 8 GB)","₹37,500",3.9,"1,316 Ratings "
"Apple iPhone 6 (Gold, 128 GB)","₹49,999",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Gold, 16 GB)","₹36,499",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Silver, 16 GB)","₹36,990",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Gold, 64 GB)","₹25,999",4.4,"1,45,245 Ratings "
"Apple iPhone 5C (Yellow, 8 GB)","₹37,500",3.9,"1,316 Ratings "
"Apple iPhone 5C (Blue, 8 GB)","₹14,999",3.9,"1,316 Ratings "
"Apple iPhone 5C (White, 8 GB)","₹14,999",3.9,"1,316 Ratings "
"Apple iPhone 5C (White, 32 GB)","₹53,500",3.9,"1,316 Ratings "
"Apple iPhone 5 (White, 16 GB)","₹43,750",3.1,743 Ratings 
"Apple iPhone 6 Plus (Space Grey, 16 GB)","₹39,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Silver, 64 GB)","₹48,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Silver, 128 GB)","₹48,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Silver, 16 GB)","₹40,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Gold, 128 GB)","₹59,999",4.7,21 Ratings 
"Apple iPhone 6 Plus (Space Grey, 128 GB)","₹56,999",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Gold, 64 GB)","₹71,500",4.5,"1,666 Ratings "
"Apple iPhone 6 Plus (Space Grey, 64 GB)","₹48,999",4.5,"1,666 Ratings "
"Apple iPhone 6 (Space Grey, 32 GB)","₹30,780",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Gold, 32 GB)","₹30,780",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Space Grey, 64 GB)","₹24,490",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Grey, 128 GB)","₹52,000",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Silver, 128 GB)","₹49,000",4.4,"1,45,245 Ratings "
"Apple iPhone 6 (Silver, 64 GB)","₹24,490",4.4,"1,45,245 Ratings "
"Apple iPhone X (Silver, 256 GB)","₹69,990",4.6,"10,928 Ratings "
